Retail sales of electricity United States monthly
https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=g&freq=M&start=200101&end=202212&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0
13:52:59 GMT+0100 (Central European Standard Time)
Data source: U.S. Energy Information Administration
Month,all sectors million kilowatthours,residential million kilowatthours,commercial million kilowatthours,industrial million kilowatthours
Apr 2006,287198.13403,93999.95079,106441.98201,86178.93082
Mar 2006,268208.30457,89374.09543,96551.16055,81696.37621
Mar 2006,,,,
Mar 2006,,,,
Feb 2006,289970.2595,104955.19201,101115.44679,83264.00534
Jan 2006,281046.41585,104511.06304,95713.18742,80207.18278
Dec 2005,304865.97033,120418.84511,101933.34533,81864.64879
Dec 2005,,,,
Dec 2005,,,,
Nov 2005,307342.67335,120177.22149,103531.01217,82974.33146
Oct 2005,274585.46698,91686.57128,98799.24861,83512.20261
Oct 2005,,,,
Oct 2005,,,,
Sep 2005,297626.30857,102685.87866,108474.38377,85856.05478
Aug 2005,330923.38387,126515.63542,116516.874,87256.04557
Jul 2005,362543.68518,146904.77969,124436.15518,90535.92761
Jul 2005,,,,
Jul 2005,,,,
Jun 2005,355514.13892,144476.33645,122037.03201,88385.72227
May 2005,319380.92267,116627.43754,114100.72922,88032.96775
May 2005,,,,
May 2005,,,,
Apr 2005,273500.25066,87384.11153,99701.62451,85852.13193
Mar 2005,264167.93607,86749.1599,94439.49428,82389.30273
Mar 2005,,,,
Mar 2005,,,,
Feb 2005,286791.11859,104065.20308,98923.67621,83184.68973
Jan 2005,279513.81952,106666.9134,93256.63986,78935.0384
Dec 2004,309078.80863,125287.85857,100862.15018,82241.65015
Dec 2004,,,,
Dec 2004,,,,
Nov 2004,300049.8776,113956.43153,101980.20633,83466.54896
Oct 2004,270162.92777,89649.74085,95752.66477,84190.55194
Oct 2004,,,,
Oct 2004,,,,
Sep 2004,281736.72461,93466.16898,102325.83477,85345.79182
Aug 2004,308565.83256,112337.69377,109595.29408,86018.95583
Jul 2004,330926.52841,126423.33984,114452.49394,89440.28164
Jul 2004,,,,
Jul 2004,,,,
Jun 2004,333907.04358,129305.34718,115495.42265,88479.4439
May 2004,307772.35889,112335.13296,108122.25804,86732.2516
May 2004,,,,
May 2004,,,,
Apr 2004,279035.82591,90598.21162,100879.28578,86988.35388
Mar 2004,262850.98943,85376.86512,93531.82545,83369.26145
Mar 2004,,,,
Mar 2004,,,,
Feb 2004,278181.55766,98947.20745,95330.87993,83327.52686
Jan 2004,286433.35172,112464.05547,93677.46255,79667.52545
Dec 2003,307856.46486,127121.38323,99281.10271,80823.03868
Dec 2003,,,,
Dec 2003,,,,
Nov 2003,293836.14216,113083.8514,97869.68409,82287.51865
Oct 2003,262976.70136,86658.68148,92604.74302,83163.82929
Oct 2003,,,,
Oct 2003,,,,
Sep 2003,277380.21575,89780.85959,100036.26335,86981.71286
Aug 2003,306589.90447,113848.98343,106472.70316,85681.98834
Jul 2003,341819.27853,134467.79929,116224.46136,90536.24056
Jul 2003,,,,
Jul 2003,,,,
Jun 2003,334208.69307,130673.85672,115232.9169,87732.30375
May 2003,290449.88234,101285.79246,102407.24564,86209.83273
May 2003,,,,
May 2003,,,,
Apr 2003,268788.0908,87804.37208,95818.83157,84619.16494
Mar 2003,256709.98509,83448.24421,89684.69152,83057.62224
Mar 2003,,,,
Mar 2003,,,,
Feb 2003,274473.4193,99561.31168,92579.67309,81758.33458
Jan 2003,282239.57466,110937.36996,91238.91884,79516.56963
Dec 2002,304262.59845,124272.7877,98557.46847,80828.12943
Dec 2002,,,,
Dec 2002,,,,
Nov 2002,286462.39615,109266.37941,89053.64535,79455.90389
Oct 2002,263033.58918,88822.30318,86095.43524,79705.57975
Oct 2002,,,,
Oct 2002,,,,
Sep 2002,284177.96223,94531.34312,96312.65137,83984.28641
Aug 2002,310497.88323,115833.03265,100808.79734,84346.26466
Jul 2002,338114.51829,134332.46833,105819.30677,88264.59938
Jul 2002,,,,
Jul 2002,,,,
Jun 2002,337284.67683,133694.80084,105985.52252,88122.97085
May 2002,296469.77249,107169.9945,95903.30254,84386.74446
May 2002,,,,
May 2002,,,,
Apr 2002,269323.29396,87318.53904,88974.19272,84459.89797
Mar 2002,257946.37508,85407.60661,83619.00093,80750.45469
Mar 2002,,,,
Mar 2002,,,,
Feb 2002,267459.80047,95318.66735,83544.91242,80461.22004
Jan 2002,263728.26311,96592.93277,80951.19992,78059.42958
Dec 2001,290967.48001,116891.8012,87428.63989,78240.27931
Dec 2001,,,,
Dec 2001,,,,
Nov 2001,268610.91126,96184.05438,85435.92163,78080.75882
Oct 2001,253033.66362,80806.69409,83226.30009,79913.67998
Oct 2001,,,,
Oct 2001,,,,
Sep 2001,267558.79557,85419.58912,89377.68751,83144.74635
Aug 2001,295925.25273,105943.19324,96704.45191,82631.49485
